objectid,comuna,barrio,codigo_barrio,manzana,estrato,fecha_sincronizacion,st_area(shape),st_perimeter(shape)
23661,15,11,1511,1511999,3,1778724905000,4513.364270087036,1053.1087792339802
23662,15,11,1511,1511999,3,1778724905000,5.557240306597514,12.595721666019104
23663,15,11,1511,1511999,3,1778724905000,5280.384722371758,807.409833239966
23664,15,11,1511,1511999,3,1778724905000,1757.9436877321566,269.750528903254
23665,15,11,1511,1511999,3,1778724905000,142.88749933490166,54.43001728123866
23666,15,11,1511,1511999,3,1778724905000,144.32634214863836,53.48023028457104
23667,15,11,1511,1511999,3,1778724905000,202.03766312155471,85.37358170705267
23668,15,11,1511,1511999,3,1778724905000,10.223291799637774,16.10361350733654
23669,15,11,1511,1511999,3,1778724905000,232.86477405923756,68.9348274077164
23670,15,11,1511,1511999,3,1778724905000,119.4074978179189,48.50254920049356
23671,15,11,1511,1511999,3,1778724905000,19.682654188022592,19.016985981036694
23672,15,11,1511,1511999,3,1778724905000,496.56656136628754,155.84655099233555
23673,15,11,1511,1511999,3,1778724905000,288.58257159996197,151.11279160857035
23674,15,11,1511,1511999,3,1778724905000,248.81018173278963,129.12014179919353
23675,16,03,1603,1603002,4,1778724905000,27015.3659168307,798.7893146832581
23676,16,03,1603,1603003,3,1778724905000,2714.779676030814,220.71163836299382
23677,16,03,1603,1603003,4,1778724905000,43.36064273640769,38.78501442503514
23678,16,03,1603,1603004,3,1778724905000,346.468037812555,118.26655691760232
23679,16,03,1603,1603004,3,1778724905000,109.55979133941374,45.71531499076312
23680,16,03,1603,1603004,3,1778724905000,122.09018647828076,46.88989289976188
23681,16,03,1603,1603004,3,1778724905000,342.44505000308226,74.19206207450704
23682,16,03,1603,1603004,4,1778724905000,4261.093124640285,410.7617267865762
23683,16,03,1603,1603005,3,1778724905000,1523.2481941036608,185.1716737193598
23684,16,03,1603,1603005,4,1778724905000,66.88809139705685,37.02812716952899
23685,16,03,1603,1603006,3,1778724905000,1004.0769201902841,183.07985700935942
23686,16,03,1603,1603006,4,1778724905000,415.5161711387228,81.57214762011189
23687,16,03,1603,1603007,3,1778724905000,4881.320895820264,280.87005290310276
23688,16,03,1603,1603002,3,1778724905000,47.11347000999926,27.723860640524773
23689,16,05,1605,1605036,3,1778724905000,5535.70892152078,374.5371648416551
23690,16,05,1605,1605036,4,1778724905000,274.2243029766967,84.55851826067097
23691,16,05,1605,1605037,3,1778724905000,5670.483949081446,304.5247902169837
23692,16,05,1605,1605038,3,1778724905000,2081.4727871589175,192.445361203141
23693,16,05,1605,1605039,3,1778724905000,2288.357433844042,203.7760634469032
23694,15,10,1510,1510999,3,1778724905000,5043.278438907856,1108.7589406807049
23695,15,10,1510,1510999,3,1778724905000,611.0601852447671,301.5710839375671
23696,15,10,1510,1510999,3,1778724905000,339.515498221875,107.2216376979326
23697,15,10,1510,1510999,3,1778724905000,48269.84505157953,7801.870002601387
23698,15,10,1510,1510999,3,1778724905000,2278.5016562796113,231.61963186684886
23699,15,10,1510,1510999,3,1778724905000,2871.0992422941727,569.785969741202
23700,15,10,1510,1510999,3,1778724905000,401.44371312690157,94.93970416030574
23701,15,10,1510,1510999,3,1778724905000,1186.361176923564,176.04831787731715
23702,15,10,1510,1510999,3,1778724905000,303.8440951669352,217.19736775718778
23703,15,10,1510,1510999,3,1778724905000,212.58093031165137,154.7142952377086
23704,15,10,1510,1510999,3,1778724905000,53.19708620866919,35.67989380701351
23705,15,10,1510,1510999,3,1778724905000,127.93624192772822,70.79806066398672
23706,15,10,1510,1510999,3,1778724905000,35.05747307044256,23.953480125291644
23707,15,10,1510,1510999,3,1778724905000,519.9637069776129,138.05292331404095
23708,15,10,1510,1510999,3,1778724905000,144.71579334124604,105.7440329988858
23709,15,10,1510,1510999,3,1778724905000,2252.7462262175113,540.425505665736
23710,15,11,1511,1511999,3,1778724905000,808.4862594077422,186.7349850915755
23711,15,11,1511,1511999,3,1778724905000,591.2292918596196,142.14531780946044
23712,15,11,1511,1511999,3,1778724905000,136.1789913231766,125.03017309564522
23713,16,01,1601,1601001,2,1778724905000,259.0479902090139,75.64339191846632
23714,16,01,1601,1601001,3,1778724905000,14972.836665372504,501.6627742046509
23715,16,01,1601,1601002,4,1778724905000,36664.92924631296,919.906922962445
23716,16,01,1601,1601003,4,1778724905000,3004.6189360964036,306.61919957330144
23717,16,01,1601,1601004,5,1778724905000,5065.6054346046085,329.6208668049602
23718,16,01,1601,1601005,4,1778724905000,279.987239171661,67.99698002183739
23719,16,01,1601,1601005,5,1778724905000,4599.613849292485,364.128889020109
23720,16,01,1601,1601006,4,1778724905000,3279.3709753552557,246.50625810712984
23721,16,01,1601,1601006,4,1778724905000,8132.469411059607,377.4196774920331
23722,15,11,1511,1511999,3,1778724905000,8.100402565975916,46.258865750240915
23723,15,11,1511,1511999,3,1778724905000,14.493430473491756,24.178907498213242
23724,15,11,1511,1511999,3,1778724905000,283.95433383493616,69.37554561593517
23725,16,03,1603,1603008,3,1778724905000,5268.102004479352,295.55731540505184
23726,16,03,1603,1603009,4,1778724905000,4541.423734436356,268.05327744626635
23727,16,03,1603,1603010,4,1778724905000,4706.635870237294,273.58875047381724
23728,16,03,1603,1603011,4,1778724905000,6822.354660692196,339.1025751485817
23729,16,03,1603,1603012,3,1778724905000,2828.5529307335955,324.38902419323625
23730,16,03,1603,1603012,4,1778724905000,138.24719873421094,56.49108339075666
23731,16,03,1603,1603012,4,1778724905000,47.3563761488592,27.656904502793548
23732,16,03,1603,1603012,4,1778724905000,271.2097596346732,94.43759607346081
23733,16,03,1603,1603013,3,1778724905000,1833.794596429651,333.8351833977999
23734,16,03,1603,1603013,4,1778724905000,151.73022053767647,53.85741792583376
23735,16,03,1603,1603013,4,1778724905000,142.28700987889877,54.49376797757582
23736,16,03,1603,1603013,4,1778724905000,451.87251238698275,95.85520752542608
23737,16,03,1603,1603014,4,1778724905000,9787.212766984478,428.63866386333086
23738,16,03,1603,1603015,4,1778724905000,9516.930184832692,405.3242518540523
23739,16,05,1605,1605079,4,1778724905000,133.19635201065577,51.398417907496146
23740,16,05,1605,1605080,3,1778724905000,8993.722958310971,410.1694412794323
23741,16,05,1605,1605081,3,1778724905000,4025.290773869536,288.5853299599031
23742,16,05,1605,1605082,3,1778724905000,3531.252646311182,256.4821373805555
23743,16,05,1605,1605083,3,1778724905000,2912.8940740559515,224.16363866660896
23744,16,05,1605,1605084,3,1778724905000,2258.816666171792,193.99263201696755
23745,16,05,1605,1605085,3,1778724905000,3172.432157601814,244.89713339839236
23746,16,05,1605,1605086,3,1778724905000,2083.0664346838266,248.68362354235333
23747,15,11,1511,1511001,3,1778724905000,55831.44699024229,1184.3820834741312
23748,15,11,1511,1511001,4,1778724905000,114.78606548104756,46.29437664454469
23749,15,11,1511,1511002,3,1778724905000,4183.554285451979,266.5746745314122
23750,15,11,1511,1511003,3,1778724905000,7486.50698821105,347.61105719434494
23751,15,11,1511,1511004,3,1778724905000,4241.533061851305,313.75466740500815
23752,15,11,1511,1511005,2,1778724905000,569.5723427225174,107.83587232051997
23753,15,11,1511,1511005,2,1778724905000,3873.434655668867,347.16553739272825
23754,15,11,1511,1511005,3,1778724905000,37.02544253012903,25.276977246103275
23755,15,11,1511,1511006,2,1778724905000,183.85059111476917,54.23475727403501
23756,16,01,1601,1601006,5,1778724905000,18262.20817863563,625.9797272650193
23757,16,01,1601,1601007,3,1778724905000,879.705706024718,135.528824745885
23758,16,01,1601,1601007,3,1778724905000,1836.0690228742505,216.243440279788
23759,16,01,1601,1601007,4,1778724905000,478.56185503972563,90.56046034585106
23760,16,01,1601,1601007,4,1778724905000,106.19508003752283,47.39811370537156
